IP Address Count:
203.0.113.0: 96
172.16.0.1: 112
127.0.0.1: 97
10.0.0.2: 102
8.8.8.8: 91
10.0.0.1: 109
192.168.1.1: 95
172.16.0.2: 104
203.0.113.1: 101
192.168.0.100: 93

Status Code Count:
502: 102
201: 89
403: 97
404: 92
500: 74
400: 88
301: 91
503: 108
401: 89
302: 84
200: 86

Log Entries:
IP: 192.168.0.100, Timestamp: 20/Aug/2022:10:37:41 Eastern Daylight Time, Method: GET, URL: /products, Status: 200, Size: 2013
IP: 192.168.0.100, Timestamp: 01/Jul/2024:09:09:12 Eastern Daylight Time, Method: PUT, URL: /contact, Status: 200, Size: 3587
IP: 10.0.0.1, Timestamp: 15/Feb/2020:05:47:40 Eastern Standard Time, Method: DELETE, URL: /services, Status: 201, Size: 1952
IP: 8.8.8.8, Timestamp: 28/Oct/2022:12:40:10 Eastern Daylight Time, Method: PUT, URL: /api/user, Status: 403, Size: 1033
IP: 203.0.113.1, Timestamp: 17/Mar/2024:14:51:49 Eastern Daylight Time, Method: GET, URL: /services, Status: 403, Size: 4462
IP: 192.168.0.100, Timestamp: 14/Jul/2024:11:49:31 Eastern Daylight Time, Method: GET, URL: /contact, Status: 404, Size: 1423
IP: 127.0.0.1, Timestamp: 14/Nov/2023:00:14:37 Eastern Standard Time, Method: DELETE, URL: /contact, Status: 404, Size: 3803
IP: 192.168.1.1, Timestamp: 09/Nov/2020:03:37:58 Eastern Standard Time, Method: GET, URL: /products, Status: 403, Size: 3152
IP: 192.168.1.1, Timestamp: 29/Aug/2021:19:33:42 Eastern Daylight Time, Method: GET, URL: /home, Status: 400, Size: 1060
IP: 203.0.113.1, Timestamp: 28/Dec/2021:11:12:10 Eastern Standard Time, Method: PUT, URL: /products, Status: 503, Size: 1881
IP: 172.16.0.1, Timestamp: 26/Mar/2023:19:30:37 Eastern Daylight Time, Method: POST, URL: /services, Status: 200, Size: 2639
IP: 172.16.0.1, Timestamp: 06/Aug/2023:16:09:47 Eastern Daylight Time, Method: PUT, URL: /api/data, Status: 401, Size: 3322
IP: 172.16.0.1, Timestamp: 07/Jan/2024:22:57:47 Eastern Standard Time, Method: PUT, URL: /contact, Status: 503, Size: 438
IP: 10.0.0.2, Timestamp: 11/Feb/2023:01:56:36 Eastern Standard Time, Method: GET, URL: /api/user, Status: 302, Size: 3355
IP: 203.0.113.0, Timestamp: 29/Mar/2024:03:18:52 Eastern Daylight Time, Method: DELETE, URL: /index.html, Status: 502, Size: 2314
IP: 203.0.113.0, Timestamp: 17/Feb/2020:20:46:15 Eastern Standard Time, Method: PUT, URL: /index.html, Status: 201, Size: 1604
IP: 10.0.0.1, Timestamp: 11/May/2021:21:02:25 Eastern Daylight Time, Method: POST, URL: /login, Status: 200, Size: 4869
IP: 203.0.113.0, Timestamp: 27/Apr/2022:00:31:01 Eastern Daylight Time, Method: PUT, URL: /login, Status: 503, Size: 1584
IP: 10.0.0.2, Timestamp: 07/Jul/2024:10:23:48 Eastern Daylight Time, Method: POST, URL: /contact, Status: 401, Size: 1213
IP: 10.0.0.1, Timestamp: 05/Aug/2023:10:02:28 Eastern Daylight Time, Method: PUT, URL: /api/data, Status: 400, Size: 1758
IP: 10.0.0.1, Timestamp: 26/Aug/2020:21:25:43 Eastern Daylight Time, Method: GET, URL: /products, Status: 403, Size: 2164
IP: 8.8.8.8, Timestamp: 02/Feb/2022:01:44:02 Eastern Standard Time, Method: GET, URL: /login, Status: 401, Size: 1544
IP: 172.16.0.2, Timestamp: 05/Mar/2021:01:59:54 Eastern Standard Time, Method: GET, URL: /api/user, Status: 301, Size: 145
IP: 192.168.0.100, Timestamp: 27/Nov/2022:03:05:06 Eastern Standard Time, Method: POST, URL: /services, Status: 401, Size: 235
IP: 172.16.0.2, Timestamp: 23/Feb/2021:20:31:23 Eastern Standard Time, Method: PUT, URL: /home, Status: 500, Size: 349
IP: 192.168.0.100, Timestamp: 19/Feb/2024:02:06:20 Eastern Standard Time, Method: GET, URL: /products, Status: 400, Size: 3588
IP: 192.168.1.1, Timestamp: 24/Jun/2022:03:57:50 Eastern Daylight Time, Method: POST, URL: /products, Status: 400, Size: 3928
IP: 192.168.1.1, Timestamp: 08/May/2024:22:21:40 Eastern Daylight Time, Method: PUT, URL: /products, Status: 403, Size: 4821
IP: 127.0.0.1, Timestamp: 14/Jun/2023:00:59:35 Eastern Daylight Time, Method: GET, URL: /home, Status: 401, Size: 478
IP: 10.0.0.1, Timestamp: 24/Nov/2021:18:31:13 Eastern Standard Time, Method: PUT, URL: /index.html, Status: 500, Size: 1854
IP: 192.168.1.1, Timestamp: 10/Jan/2020:02:07:35 Eastern Standard Time, Method: PUT, URL: /services, Status: 502, Size: 2785
IP: 172.16.0.1, Timestamp: 04/Feb/2020:01:13:58 Eastern Standard Time, Method: PUT, URL: /index.html, Status: 502, Size: 4936
IP: 10.0.0.1, Timestamp: 02/Nov/2024:06:04:58 Eastern Daylight Time, Method: PUT, URL: /login, Status: 503, Size: 1043
IP: 192.168.0.100, Timestamp: 20/Feb/2021:02:37:43 Eastern Standard Time, Method: POST, URL: /api/login, Status: 503, Size: 342
IP: 192.168.1.1, Timestamp: 30/Jun/2021:18:10:58 Eastern Daylight Time, Method: GET, URL: /contact, Status: 403, Size: 2944
IP: 192.168.0.100, Timestamp: 19/Mar/2023:21:49:02 Eastern Daylight Time, Method: GET, URL: /products, Status: 500, Size: 2496
IP: 192.168.0.100, Timestamp: 13/Aug/2020:06:51:57 Eastern Daylight Time, Method: DELETE, URL: /contact, Status: 403, Size: 3482
IP: 203.0.113.0, Timestamp: 19/Dec/2024:09:45:37 Eastern Standard Time, Method: POST, URL: /api/user, Status: 503, Size: 4908
IP: 172.16.0.2, Timestamp: 26/May/2021:00:18:48 Eastern Daylight Time, Method: GET, URL: /about, Status: 302, Size: 820
IP: 10.0.0.2, Timestamp: 03/Jan/2022:08:20:12 Eastern Standard Time, Method: POST, URL: /products, Status: 500, Size: 2306
IP: 127.0.0.1, Timestamp: 11/Feb/2020:15:55:24 Eastern Standard Time, Method: DELETE, URL: /api/data, Status: 502, Size: 3504
IP: 172.16.0.2, Timestamp: 22/May/2022:16:07:05 Eastern Daylight Time, Method: DELETE, URL: /products, Status: 404, Size: 2770
IP: 192.168.1.1, Timestamp: 11/Nov/2023:16:20:49 Eastern Standard Time, Method: DELETE, URL: /about, Status: 503, Size: 1916
IP: 203.0.113.0, Timestamp: 26/Jul/2024:11:22:24 Eastern Daylight Time, Method: GET, URL: /api/user, Status: 503, Size: 3806
IP: 203.0.113.0, Timestamp: 05/Sep/2021:04:42:08 Eastern Daylight Time, Method: PUT, URL: /login, Status: 502, Size: 2422
IP: 8.8.8.8, Timestamp: 30/Nov/2024:04:24:30 Eastern Standard Time, Method: DELETE, URL: /index.html, Status: 502, Size: 4882
IP: 192.168.1.1, Timestamp: 19/Jun/2022:10:19:17 Eastern Daylight Time, Method: POST, URL: /about, Status: 400, Size: 3994
IP: 172.16.0.2, Timestamp: 20/Oct/2023:18:04:48 Eastern Daylight Time, Method: GET, URL: /api/data, Status: 302, Size: 1950
IP: 10.0.0.1, Timestamp: 14/Apr/2023:07:06:57 Eastern Daylight Time, Method: POST, URL: /login, Status: 503, Size: 1361
IP: 127.0.0.1, Timestamp: 11/Jun/2024:06:59:56 Eastern Daylight Time, Method: DELETE, URL: /home, Status: 302, Size: 835
IP: 192.168.0.100, Timestamp: 02/Feb/2022:09:49:56 Eastern Standard Time, Method: GET, URL: /api/login, Status: 400, Size: 4237
IP: 10.0.0.1, Timestamp: 06/May/2022:18:35:20 Eastern Daylight Time, Method: POST, URL: /index.html, Status: 400, Size: 3850
IP: 172.16.0.1, Timestamp: 19/Jun/2024:01:44:34 Eastern Daylight Time, Method: PUT, URL: /index.html, Status: 401, Size: 4098
IP: 203.0.113.0, Timestamp: 31/Jan/2022:23:06:37 Eastern Standard Time, Method: PUT, URL: /about, Status: 502, Size: 638
IP: 10.0.0.2, Timestamp: 26/Feb/2022:01:36:39 Eastern Standard Time, Method: GET, URL: /contact, Status: 200, Size: 2014
IP: 8.8.8.8, Timestamp: 07/Oct/2021:23:31:28 Eastern Daylight Time, Method: POST, URL: /api/login, Status: 201, Size: 4644
IP: 172.16.0.1, Timestamp: 06/Feb/2021:07:16:39 Eastern Standard Time, Method: PUT, URL: /products, Status: 401, Size: 1410
IP: 10.0.0.2, Timestamp: 16/Feb/2022:00:28:16 Eastern Standard Time, Method: GET, URL: /api/user, Status: 502, Size: 2955
IP: 8.8.8.8, Timestamp: 22/Jan/2024:18:19:29 Eastern Standard Time, Method: DELETE, URL: /api/login, Status: 302, Size: 2437
IP: 172.16.0.2, Timestamp: 23/Oct/2020:11:41:39 Eastern Daylight Time, Method: GET, URL: /home, Status: 500, Size: 889
IP: 192.168.1.1, Timestamp: 05/Jan/2022:19:40:43 Eastern Standard Time, Method: DELETE, URL: /login, Status: 503, Size: 1131
IP: 172.16.0.2, Timestamp: 18/Oct/2022:21:17:26 Eastern Daylight Time, Method: PUT, URL: /contact, Status: 500, Size: 5038
IP: 127.0.0.1, Timestamp: 11/Jun/2023:23:37:54 Eastern Daylight Time, Method: GET, URL: /index.html, Status: 404, Size: 1231
IP: 127.0.0.1, Timestamp: 21/Mar/2023:06:42:47 Eastern Daylight Time, Method: DELETE, URL: /api/login, Status: 201, Size: 2528
IP: 10.0.0.1, Timestamp: 27/Aug/2020:06:46:01 Eastern Daylight Time, Method: POST, URL: /api/login, Status: 200, Size: 3688
IP: 203.0.113.0, Timestamp: 03/Dec/2020:03:19:06 Eastern Standard Time, Method: PUT, URL: /home, Status: 201, Size: 732
IP: 10.0.0.1, Timestamp: 18/Oct/2024:02:04:17 Eastern Daylight Time, Method: GET, URL: /products, Status: 503, Size: 3484
IP: 127.0.0.1, Timestamp: 07/Jan/2022:21:28:59 Eastern Standard Time, Method: DELETE, URL: /home, Status: 401, Size: 242
IP: 192.168.0.100, Timestamp: 02/Jan/2021:22:48:41 Eastern Standard Time, Method: PUT, URL: /index.html, Status: 201, Size: 2633
IP: 192.168.0.100, Timestamp: 17/Dec/2020:12:11:43 Eastern Standard Time, Method: POST, URL: /index.html, Status: 301, Size: 4525
IP: 203.0.113.0, Timestamp: 23/Feb/2022:07:25:32 Eastern Standard Time, Method: GET, URL: /services, Status: 503, Size: 2559
IP: 172.16.0.1, Timestamp: 27/Nov/2023:17:07:04 Eastern Standard Time, Method: DELETE, URL: /login, Status: 201, Size: 3718
IP: 203.0.113.1, Timestamp: 27/Jul/2024:14:56:53 Eastern Daylight Time, Method: DELETE, URL: /api/login, Status: 500, Size: 3698
IP: 192.168.0.100, Timestamp: 19/Apr/2020:01:12:09 Eastern Daylight Time, Method: GET, URL: /services, Status: 400, Size: 1719
IP: 192.168.1.1, Timestamp: 12/Dec/2024:17:43:14 Eastern Standard Time, Method: DELETE, URL: /contact, Status: 403, Size: 985
IP: 192.168.0.100, Timestamp: 07/Jul/2024:01:05:05 Eastern Daylight Time, Method: PUT, URL: /api/data, Status: 301, Size: 3028
IP: 172.16.0.2, Timestamp: 13/Aug/2024:16:03:57 Eastern Daylight Time, Method: DELETE, URL: /index.html, Status: 401, Size: 4098
IP: 192.168.1.1, Timestamp: 25/Dec/2021:14:57:23 Eastern Standard Time, Method: POST, URL: /index.html, Status: 200, Size: 2309
IP: 172.16.0.2, Timestamp: 26/Nov/2022:15:05:49 Eastern Standard Time, Method: PUT, URL: /products, Status: 301, Size: 2265
IP: 172.16.0.1, Timestamp: 21/Mar/2023:11:59:52 Eastern Daylight Time, Method: POST, URL: /api/user, Status: 200, Size: 4996
IP: 203.0.113.1, Timestamp: 13/Jan/2020:19:05:36 Eastern Standard Time, Method: PUT, URL: /api/user, Status: 302, Size: 1228
IP: 192.168.1.1, Timestamp: 20/Jun/2023:06:30:30 Eastern Daylight Time, Method: PUT, URL: /api/user, Status: 503, Size: 4184
IP: 172.16.0.1, Timestamp: 08/Apr/2022:23:18:55 Eastern Daylight Time, Method: PUT, URL: /contact, Status: 502, Size: 1525
IP: 10.0.0.2, Timestamp: 10/Feb/2024:18:40:23 Eastern Standard Time, Method: POST, URL: /home, Status: 302, Size: 4028
IP: 192.168.0.100, Timestamp: 20/Nov/2023:14:25:16 Eastern Standard Time, Method: GET, URL: /contact, Status: 403, Size: 1566
IP: 192.168.0.100, Timestamp: 01/Feb/2020:04:43:54 Eastern Standard Time, Method: POST, URL: /login, Status: 400, Size: 4761
IP: 192.168.1.1, Timestamp: 18/Apr/2024:04:43:00 Eastern Daylight Time, Method: PUT, URL: /api/user, Status: 503, Size: 3487
IP: 8.8.8.8, Timestamp: 29/Jul/2023:06:43:42 Eastern Daylight Time, Method: PUT, URL: /api/login, Status: 201, Size: 2479
IP: 172.16.0.2, Timestamp: 11/May/2021:09:28:56 Eastern Daylight Time, Method: DELETE, URL: /login, Status: 503, Size: 1435
IP: 192.168.0.100, Timestamp: 17/May/2020:15:48:05 Eastern Daylight Time, Method: POST, URL: /api/user, Status: 400, Size: 4080
IP: 192.168.0.100, Timestamp: 29/Aug/2023:19:59:56 Eastern Daylight Time, Method: PUT, URL: /api/login, Status: 502, Size: 3651
IP: 8.8.8.8, Timestamp: 10/Nov/2023:13:10:51 Eastern Standard Time, Method: GET, URL: /contact, Status: 302, Size: 4200
IP: 8.8.8.8, Timestamp: 28/Dec/2022:22:19:13 Eastern Standard Time, Method: DELETE, URL: /contact, Status: 302, Size: 1370
IP: 10.0.0.1, Timestamp: 18/Jun/2021:04:59:40 Eastern Daylight Time, Method: DELETE, URL: /index.html, Status: 301, Size: 1837
IP: 10.0.0.1, Timestamp: 12/Apr/2021:01:13:17 Eastern Daylight Time, Method: PUT, URL: /products, Status: 503, Size: 2613
IP: 10.0.0.2, Timestamp: 10/Oct/2021:06:09:58 Eastern Daylight Time, Method: GET, URL: /about, Status: 400, Size: 1419
IP: 8.8.8.8, Timestamp: 11/Feb/2022:17:15:47 Eastern Standard Time, Method: PUT, URL: /products, Status: 403, Size: 146
IP: 192.168.1.1, Timestamp: 11/Dec/2021:19:57:33 Eastern Standard Time, Method: PUT, URL: /login, Status: 400, Size: 702
IP: 203.0.113.0, Timestamp: 06/Aug/2021:01:59:48 Eastern Daylight Time, Method: GET, URL: /api/login, Status: 301, Size: 4235
IP: 192.168.0.100, Timestamp: 06/Jul/2021:17:04:46 Eastern Daylight Time, Method: PUT, URL: /contact, Status: 301, Size: 4618
IP: 172.16.0.1, Timestamp: 17/Jan/2020:18:37:20 Eastern Standard Time, Method: GET, URL: /home, Status: 500, Size: 3026
IP: 10.0.0.1, Timestamp: 04/Dec/2021:02:01:29 Eastern Standard Time, Method: POST, URL: /index.html, Status: 404, Size: 3633
IP: 172.16.0.2, Timestamp: 07/May/2024:21:52:10 Eastern Daylight Time, Method: GET, URL: /index.html, Status: 500, Size: 888
IP: 10.0.0.1, Timestamp: 03/Apr/2021:17:06:25 Eastern Daylight Time, Method: POST, URL: /home, Status: 201, Size: 2537
IP: 203.0.113.0, Timestamp: 23/Jan/2024:13:38:08 Eastern Standard Time, Method: DELETE, URL: /api/user, Status: 404, Size: 1542
IP: 172.16.0.1, Timestamp: 30/Oct/2024:18:02:30 Eastern Daylight Time, Method: POST, URL: /login, Status: 200, Size: 3724
IP: 192.168.0.100, Timestamp: 21/Dec/2024:18:26:18 Eastern Standard Time, Method: GET, URL: /contact, Status: 302, Size: 3225
IP: 127.0.0.1, Timestamp: 11/Feb/2024:21:17:07 Eastern Standard Time, Method: POST, URL: /home, Status: 401, Size: 4859
IP: 192.168.1.1, Timestamp: 10/Apr/2021:18:39:30 Eastern Daylight Time, Method: PUT, URL: /services, Status: 500, Size: 4075
IP: 172.16.0.2, Timestamp: 02/Dec/2023:05:40:17 Eastern Standard Time, Method: GET, URL: /services, Status: 301, Size: 1407
IP: 192.168.1.1, Timestamp: 28/Feb/2021:21:49:04 Eastern Standard Time, Method: POST, URL: /index.html, Status: 502, Size: 2863
IP: 10.0.0.2, Timestamp: 14/Jun/2020:05:54:28 Eastern Daylight Time, Method: DELETE, URL: /api/data, Status: 500, Size: 3541
IP: 172.16.0.2, Timestamp: 13/May/2021:00:55:18 Eastern Daylight Time, Method: PUT, URL: /api/login, Status: 503, Size: 2670
IP: 203.0.113.0, Timestamp: 31/Mar/2022:21:57:30 Eastern Daylight Time, Method: DELETE, URL: /index.html, Status: 301, Size: 607
IP: 10.0.0.1, Timestamp: 14/Sep/2020:13:34:51 Eastern Daylight Time, Method: GET, URL: /products, Status: 503, Size: 4022
IP: 127.0.0.1, Timestamp: 08/Jul/2020:03:15:27 Eastern Daylight Time, Method: DELETE, URL: /api/login, Status: 500, Size: 131
IP: 172.16.0.2, Timestamp: 21/Sep/2022:18:57:18 Eastern Daylight Time, Method: PUT, URL: /index.html, Status: 403, Size: 1934
IP: 192.168.0.100, Timestamp: 02/Feb/2024:00:26:37 Eastern Standard Time, Method: GET, URL: /products, Status: 502, Size: 2664
IP: 127.0.0.1, Timestamp: 27/Jun/2022:04:22:55 Eastern Daylight Time, Method: POST, URL: /api/user, Status: 302, Size: 4571
IP: 172.16.0.2, Timestamp: 02/Oct/2023:09:19:36 Eastern Daylight Time, Method: POST, URL: /index.html, Status: 502, Size: 737
IP: 8.8.8.8, Timestamp: 09/Nov/2024:00:04:58 Eastern Standard Time, Method: PUT, URL: /login, Status: 400, Size: 459
IP: 203.0.113.0, Timestamp: 13/Aug/2022:18:00:05 Eastern Daylight Time, Method: PUT, URL: /index.html, Status: 502, Size: 4563
IP: 203.0.113.1, Timestamp: 08/Aug/2023:02:59:34 Eastern Daylight Time, Method: GET, URL: /api/login, Status: 502, Size: 2978
IP: 172.16.0.1, Timestamp: 10/Dec/2023:16:20:56 Eastern Standard Time, Method: DELETE, URL: /api/login, Status: 500, Size: 2651
IP: 8.8.8.8, Timestamp: 30/Oct/2024:03:11:17 Eastern Daylight Time, Method: GET, URL: /contact, Status: 401, Size: 4064
IP: 203.0.113.1, Timestamp: 10/Oct/2023:22:59:54 Eastern Daylight Time, Method: PUT, URL: /login, Status: 403, Size: 1131
IP: 127.0.0.1, Timestamp: 20/Sep/2020:20:32:21 Eastern Daylight Time, Method: POST, URL: /api/data, Status: 302, Size: 542
IP: 203.0.113.0, Timestamp: 30/Sep/2022:02:38:53 Eastern Daylight Time, Method: GET, URL: /services, Status: 500, Size: 1872
IP: 10.0.0.1, Timestamp: 11/May/2022:01:14:54 Eastern Daylight Time, Method: POST, URL: /api/user, Status: 403, Size: 3183
IP: 172.16.0.2, Timestamp: 01/Feb/2024:07:18:06 Eastern Standard Time, Method: PUT, URL: /home, Status: 503, Size: 4569
IP: 10.0.0.1, Timestamp: 17/May/2023:19:16:13 Eastern Daylight Time, Method: GET, URL: /about, Status: 301, Size: 2767
IP: 127.0.0.1, Timestamp: 29/Nov/2022:04:28:17 Eastern Standard Time, Method: PUT, URL: /about, Status: 302, Size: 4061
IP: 10.0.0.1, Timestamp: 07/Jul/2021:12:55:35 Eastern Daylight Time, Method: DELETE, URL: /index.html, Status: 400, Size: 4017
IP: 8.8.8.8, Timestamp: 11/Feb/2021:22:04:51 Eastern Standard Time, Method: POST, URL: /api/user, Status: 404, Size: 3723
IP: 10.0.0.1, Timestamp: 26/May/2020:01:14:30 Eastern Daylight Time, Method: POST, URL: /api/user, Status: 302, Size: 5025
IP: 192.168.0.100, Timestamp: 28/Sep/2021:04:09:20 Eastern Daylight Time, Method: DELETE, URL: /login, Status: 301, Size: 2630
IP: 8.8.8.8, Timestamp: 28/Mar/2022:17:49:04 Eastern Daylight Time, Method: GET, URL: /api/login, Status: 400, Size: 4541
IP: 192.168.0.100, Timestamp: 04/Mar/2024:10:16:15 Eastern Standard Time, Method: DELETE, URL: /index.html, Status: 200, Size: 124
IP: 172.16.0.2, Timestamp: 21/Oct/2023:17:50:11 Eastern Daylight Time, Method: DELETE, URL: /api/user, Status: 200, Size: 619
IP: 203.0.113.0, Timestamp: 23/Feb/2020:11:08:22 Eastern Standard Time, Method: PUT, URL: /services, Status: 301, Size: 1908
IP: 172.16.0.2, Timestamp: 22/Aug/2021:22:43:54 Eastern Daylight Time, Method: DELETE, URL: /contact, Status: 200, Size: 2168
IP: 10.0.0.2, Timestamp: 16/Aug/2024:17:59:10 Eastern Daylight Time, Method: GET, URL: /index.html, Status: 404, Size: 2841
IP: 203.0.113.1, Timestamp: 02/May/2021:03:05:53 Eastern Daylight Time, Method: PUT, URL: /api/user, Status: 400, Size: 4046
IP: 172.16.0.2, Timestamp: 01/Oct/2022:19:00:44 Eastern Daylight Time, Method: PUT, URL: /api/user, Status: 200, Size: 415
IP: 8.8.8.8, Timestamp: 21/Oct/2023:23:41:52 Eastern Daylight Time, Method: GET, URL: /api/user, Status: 201, Size: 4806
IP: 10.0.0.1, Timestamp: 01/Feb/2020:03:05:48 Eastern Standard Time, Method: PUT, URL: /login, Status: 400, Size: 4725
IP: 127.0.0.1, Timestamp: 14/May/2020:01:23:44 Eastern Daylight Time, Method: DELETE, URL: /login, Status: 502, Size: 3672
IP: 8.8.8.8, Timestamp: 08/Apr/2020:02:57:21 Eastern Daylight Time, Method: POST, URL: /login, Status: 200, Size: 4463
IP: 10.0.0.2, Timestamp: 22/Dec/2021:21:10:29 Eastern Standard Time, Method: PUT, URL: /home, Status: 500, Size: 1186
IP: 127.0.0.1, Timestamp: 07/Jun/2024:11:36:02 Eastern Daylight Time, Method: PUT, URL: /services, Status: 403, Size: 3580
IP: 127.0.0.1, Timestamp: 19/May/2021:03:59:17 Eastern Daylight Time, Method: GET, URL: /about, Status: 403, Size: 1173
IP: 10.0.0.2, Timestamp: 05/Jun/2021:13:36:53 Eastern Daylight Time, Method: POST, URL: /api/user, Status: 201, Size: 336
IP: 8.8.8.8, Timestamp: 08/Mar/2024:02:14:20 Eastern Standard Time, Method: DELETE, URL: /products, Status: 401, Size: 4701
IP: 192.168.0.100, Timestamp: 19/Jun/2021:02:20:49 Eastern Daylight Time, Method: DELETE, URL: /contact, Status: 301, Size: 3273
IP: 203.0.113.1, Timestamp: 28/Nov/2023:04:36:01 Eastern Standard Time, Method: DELETE, URL: /products, Status: 400, Size: 4925
IP: 192.168.0.100, Timestamp: 24/May/2023:04:35:49 Eastern Daylight Time, Method: POST, URL: /api/login, Status: 301, Size: 4407
IP: 8.8.8.8, Timestamp: 04/Jan/2022:05:19:54 Eastern Standard Time, Method: GET, URL: /products, Status: 401, Size: 2568
IP: 10.0.0.2, Timestamp: 26/Jul/2023:13:05:12 Eastern Daylight Time, Method: POST, URL: /api/data, Status: 404, Size: 1696
IP: 10.0.0.1, Timestamp: 22/Dec/2021:00:10:23 Eastern Standard Time, Method: PUT, URL: /about, Status: 401, Size: 1103
IP: 10.0.0.1, Timestamp: 28/Aug/2021:03:28:45 Eastern Daylight Time, Method: POST, URL: /products, Status: 201, Size: 4542
IP: 192.168.1.1, Timestamp: 26/Sep/2022:10:25:53 Eastern Daylight Time, Method: POST, URL: /api/user, Status: 401, Size: 3967
